,count,key,month,satellite,vis_median,year
0,811,kerala-wayanad,1,F10,-0.8065,1993
1,1292,kerala-alappuzha,1,F10,3.6627,1993
2,1563,kerala-kozhikode,1,F10,0.0517,1993
3,3586,kerala-thrissur,1,F10,1.2658,1993
4,1629,kerala-ernakulam,1,F10,3.4421,1993
5,1363,kerala-kannur,1,F10,-0.6087,1993
6,2011,kerala-kasaragod,1,F10,-0.6804,1993
7,1468,kerala-kottayam,1,F10,2.2410,1993
8,2094,kerala-malappuram,1,F10,0.2410,1993
9,2455,kerala-palakkad,1,F10,0.3433,1993
10,1110,kerala-pathanamthitta,1,F10,2.5287,1993
11,1621,kerala-kollam,1,F10,2.7297,1993
12,879,kerala-idukki,1,F10,-0.3373,1993
13,1518,kerala-thiruvananthapuram,1,F10,2.3196,1993
14,2133,kerala-kasaragod,2,F10,-1.3299,1993
15,1543,kerala-kannur,2,F10,-1.0500,1993
16,1511,kerala-alappuzha,2,F10,2.6250,1993
17,1074,kerala-idukki,2,F10,-0.8966,1993
18,957,kerala-wayanad,2,F10,-0.8519,1993
19,1753,kerala-kollam,2,F10,3.1034,1993
20,4078,kerala-thrissur,2,F10,1.6250,1993
21,1260,kerala-pathanamthitta,2,F10,2.1538,1993
22,2795,kerala-palakkad,2,F10,0.1538,1993
23,1756,kerala-thiruvananthapuram,2,F10,2.8036,1993
24,2397,kerala-malappuram,2,F10,-0.3750,1993
25,1685,kerala-kottayam,2,F10,1.1034,1993
26,1698,kerala-ernakulam,2,F10,2.3333,1993
27,1662,kerala-kozhikode,2,F10,-0.3750,1993
28,1498,kerala-thiruvananthapuram,3,F10,2.1266,1993
29,2477,kerala-malappuram,3,F10,-0.1263,1993
30,1592,kerala-kannur,3,F10,-0.5455,1993
31,982,kerala-alappuzha,3,F10,1.8211,1993
32,1198,kerala-ernakulam,3,F10,1.8324,1993
33,867,kerala-pathanamthitta,3,F10,0.9882,1993
34,1795,kerala-kozhikode,3,F10,-0.0625,1993
35,2275,kerala-kasaragod,3,F10,-0.6000,1993
36,2929,kerala-palakkad,3,F10,0.1266,1993
37,1431,kerala-kollam,3,F10,2.0455,1993
38,991,kerala-wayanad,3,F10,-0.5811,1993
39,834,kerala-idukki,3,F10,-1.2632,1993
40,3785,kerala-thrissur,3,F10,1.4545,1993
41,1173,kerala-kottayam,3,F10,0.8737,1993
42,535,kerala-wayanad,4,F10,-0.0133,1993
43,697,kerala-alappuzha,4,F10,4.2642,1993
44,1776,kerala-kasaragod,4,F10,0.5714,1993
45,698,kerala-kollam,4,F10,3.2400,1993
46,936,kerala-thiruvananthapuram,4,F10,4.2642,1993
47,2599,kerala-thrissur,4,F10,2.9867,1993
48,1308,kerala-kozhikode,4,F10,0.7167,1993
49,1211,kerala-kannur,4,F10,0.2400,1993
50,398,kerala-pathanamthitta,4,F10,2.2115,1993
51,1423,kerala-palakkad,4,F10,1.7167,1993
52,723,kerala-kottayam,4,F10,2.2642,1993
53,1737,kerala-malappuram,4,F10,1.2642,1993
54,841,kerala-ernakulam,4,F10,3.8431,1993
55,422,kerala-idukki,4,F10,0.4566,1993
56,531,kerala-kannur,5,F10,1.0000,1993
57,280,kerala-pathanamthitta,5,F10,6.9494,1993
58,759,kerala-malappuram,5,F10,1.9730,1993
59,940,kerala-kasaragod,5,F10,0.3000,1993
60,446,kerala-thiruvananthapuram,5,F10,5.8000,1993
61,311,kerala-ernakulam,5,F10,5.9730,1993
62,498,kerala-kozhikode,5,F10,1.3000,1993
63,239,kerala-alappuzha,5,F10,7.9730,1993
64,437,kerala-kollam,5,F10,6.9259,1993
65,1192,kerala-thrissur,5,F10,4.0000,1993
66,807,kerala-palakkad,5,F10,2.3000,1993
67,200,kerala-idukki,5,F10,2.3000,1993
68,261,kerala-kottayam,5,F10,7.4737,1993
69,291,kerala-wayanad,5,F10,1.0000,1993
70,410,kerala-pathanamthitta,6,F10,2.0000,1993
71,566,kerala-kollam,6,F10,4.0000,1993
72,583,kerala-palakkad,6,F10,2.0000,1993
73,228,kerala-idukki,6,F10,1.0000,1993
74,433,kerala-kottayam,6,F10,2.0000,1993
75,602,kerala-malappuram,6,F10,2.0000,1993
76,767,kerala-kasaragod,6,F10,0.0000,1993
77,330,kerala-wayanad,6,F10,0.5000,1993
78,290,kerala-ernakulam,6,F10,3.0000,1993
79,503,kerala-kannur,6,F10,0.0000,1993
80,551,kerala-thiruvananthapuram,6,F10,3.0000,1993
81,622,kerala-kozhikode,6,F10,1.0000,1993
82,425,kerala-alappuzha,6,F10,4.0000,1993
83,486,kerala-thrissur,6,F10,2.7143,1993
84,189,kerala-malappuram,7,F10,2.0000,1993
85,91,kerala-kollam,7,F10,3.7143,1993
86,80,kerala-thiruvananthapuram,7,F10,6.5000,1993
87,89,kerala-idukki,7,F10,4.7143,1993
88,103,kerala-pathanamthitta,7,F10,4.5000,1993
89,142,kerala-thrissur,7,F10,3.0000,1993
90,70,kerala-kottayam,7,F10,4.7143,1993
91,366,kerala-palakkad,7,F10,2.7143,1993
92,77,kerala-kozhikode,7,F10,2.5000,1993
93,36,kerala-wayanad,7,F10,4.0000,1993
94,88,kerala-kasaragod,7,F10,0.5000,1993
95,88,kerala-ernakulam,7,F10,3.7143,1993
96,75,kerala-kannur,7,F10,2.0000,1993
97,103,kerala-alappuzha,7,F10,5.5000,1993
98,219,kerala-wayanad,8,F10,1.0000,1993
99,608,kerala-thiruvananthapuram,8,F10,4.5192,1993
100,358,kerala-alappuzha,8,F10,4.2034,1993
101,285,kerala-idukki,8,F10,1.2034,1993
102,566,kerala-palakkad,8,F10,3.1333,1993
103,213,kerala-pathanamthitta,8,F10,3.5192,1993
104,317,kerala-kasaragod,8,F10,1.1333,1993
105,392,kerala-kozhikode,8,F10,2.0000,1993
106,305,kerala-kannur,8,F10,1.1333,1993
107,429,kerala-ernakulam,8,F10,4.8621,1993
108,465,kerala-malappuram,8,F10,2.1333,1993
109,463,kerala-kottayam,8,F10,3.1333,1993
110,929,kerala-thrissur,8,F10,3.8077,1993
111,489,kerala-kollam,8,F10,4.8077,1993
112,519,kerala-pathanamthitta,9,F10,2.0909,1993
113,669,kerala-malappuram,9,F10,0.3051,1993
114,1416,kerala-thrissur,9,F10,0.1864,1993
115,811,kerala-kasaragod,9,F10,0.1864,1993
116,831,kerala-thiruvananthapuram,9,F10,2.0909,1993
117,982,kerala-palakkad,9,F10,-0.2903,1993
118,474,kerala-kannur,9,F10,0.8060,1993
119,547,kerala-ernakulam,9,F10,0.8088,1993
120,611,kerala-kozhikode,9,F10,1.1200,1993
121,610,kerala-alappuzha,9,F10,2.1719,1993
122,669,kerala-kottayam,9,F10,0.0909,1993
123,264,kerala-wayanad,9,F10,0.1055,1993
124,918,kerala-kollam,9,F10,3.1200,1993
125,437,kerala-idukki,9,F10,0.1200,1993
126,440,kerala-kollam,10,F10,2.4828,1993
127,577,kerala-thiruvananthapuram,10,F10,2.3594,1993
128,171,kerala-ernakulam,10,F10,2.1098,1993
129,217,kerala-wayanad,10,F10,-1.6818,1993
130,377,kerala-kasaragod,10,F10,-2.0103,1993
131,222,kerala-idukki,10,F10,0.1702,1993
132,610,kerala-malappuram,10,F10,-2.0103,1993
133,672,kerala-thrissur,10,F10,0.1098,1993
134,235,kerala-pathanamthitta,10,F10,1.3333,1993
135,305,kerala-kottayam,10,F10,1.1098,1993
136,524,kerala-palakkad,10,F10,-0.6406,1993
137,211,kerala-alappuzha,10,F10,3.1098,1993
138,330,kerala-kannur,10,F10,-2.2857,1993
139,405,kerala-kozhikode,10,F10,-2.2857,1993
140,448,kerala-kollam,11,F10,2.8611,1993
141,1003,kerala-kozhikode,11,F10,-0.2947,1993
142,1412,kerala-palakkad,11,F10,-0.5684,1993
143,965,kerala-kannur,11,F10,-0.9157,1993
144,1536,kerala-thrissur,11,F10,1.0843,1993
145,638,kerala-thiruvananthapuram,11,F10,1.7423,1993
146,359,kerala-alappuzha,11,F10,2.1356,1993
147,253,kerala-kottayam,11,F10,0.9895,1993
148,457,kerala-wayanad,11,F10,-0.7079,1993
149,259,kerala-pathanamthitta,11,F10,1.2921,1993
150,442,kerala-ernakulam,11,F10,2.2921,1993
151,1243,kerala-malappuram,11,F10,0.0000,1993
152,359,kerala-idukki,11,F10,0.0370,1993
153,1444,kerala-kasaragod,11,F10,-1.1951,1993
154,1505,kerala-ernakulam,12,F10,3.7674,1993
155,3598,kerala-thrissur,12,F10,1.5000,1993
156,1016,kerala-wayanad,12,F10,-0.2500,1993
157,1749,kerala-kannur,12,F10,-0.2326,1993
158,1231,kerala-kottayam,12,F10,1.2151,1993
159,872,kerala-pathanamthitta,12,F10,1.4805,1993
160,2565,kerala-palakkad,12,F10,0.7500,1993
