,count,key,month,satellite,vis_median,year
0,21920,andhra-pradesh-nalgonda,1,F10,-0.4713,1993
1,27610,andhra-pradesh-east-godavari,1,F10,-0.5106,1993
2,18271,andhra-pradesh-krishna,1,F10,0.8229,1993
3,17556,andhra-pradesh-rangareddy,1,F10,0.2410,1993
4,24996,andhra-pradesh-medak,1,F10,0.2410,1993
5,20497,andhra-pradesh-sri-potti-sriramulu-nellore,1,F10,0.2410,1993
6,15822,andhra-pradesh-y.s.r,1,F10,-0.2703,1993
7,40594,andhra-pradesh-srikakulam,1,F10,-0.7234,1993
8,28120,andhra-pradesh-chittoor,1,F10,0.3196,1993
9,13004,andhra-pradesh-guntur,1,F10,0.3314,1993
10,25627,andhra-pradesh-khammam,1,F10,-0.5579,1993
11,17810,andhra-pradesh-prakasam,1,F10,-0.2703,1993
12,19612,andhra-pradesh-nizamabad,1,F10,1.2658,1993
13,33919,andhra-pradesh-vizianagaram,1,F10,-0.7590,1993
14,15182,andhra-pradesh-kurnool,1,F10,-0.3373,1993
15,23382,andhra-pradesh-warangal,1,F10,-0.1771,1993
16,38398,andhra-pradesh-adilabad,1,F10,-0.5106,1993
17,72324,andhra-pradesh-visakhapatnam,1,F10,-1.3977,1993
18,17052,andhra-pradesh-west-godavari,1,F10,0.2658,1993
19,24299,andhra-pradesh-karimnagar,1,F10,0.5287,1993
20,28237,andhra-pradesh-mahbubnagar,1,F10,-0.5106,1993
21,15693,andhra-pradesh-anantapur,1,F10,-0.2703,1993
22,20042,andhra-pradesh-rangareddy,2,F10,-0.3750,1993
23,20404,andhra-pradesh-krishna,2,F10,0.6027,1993
24,19748,andhra-pradesh-anantapur,2,F10,-0.8966,1993
25,19411,andhra-pradesh-kurnool,2,F10,-1.0115,1993
26,23389,andhra-pradesh-sri-potti-sriramulu-nellore,2,F10,-0.6941,1993
27,19786,andhra-pradesh-nizamabad,2,F10,0.3333,1993
28,30246,andhra-pradesh-chittoor,2,F10,-0.3299,1993
29,26160,andhra-pradesh-khammam,2,F10,-0.7204,1993
30,22514,andhra-pradesh-karimnagar,2,F10,-0.0500,1993
31,32522,andhra-pradesh-vizianagaram,2,F10,-0.7260,1993
32,18605,andhra-pradesh-west-godavari,2,F10,0.1481,1993
33,29393,andhra-pradesh-east-godavari,2,F10,-0.4878,1993
34,32979,andhra-pradesh-mahbubnagar,2,F10,-0.7255,1993
35,25698,andhra-pradesh-medak,2,F10,-0.6667,1993
36,23055,andhra-pradesh-warangal,2,F10,-0.3973,1993
37,22753,andhra-pradesh-prakasam,2,F10,-0.8966,1993
38,70416,andhra-pradesh-visakhapatnam,2,F10,-1.2626,1993
39,36003,andhra-pradesh-adilabad,2,F10,-0.7204,1993
40,14910,andhra-pradesh-guntur,2,F10,-0.2626,1993
41,24677,andhra-pradesh-nalgonda,2,F10,-0.6667,1993
42,37746,andhra-pradesh-srikakulam,2,F10,-1.1964,1993
43,19453,andhra-pradesh-y.s.r,2,F10,-0.7857,1993
44,31226,andhra-pradesh-adilabad,3,F10,-0.6000,1993
45,25092,andhra-pradesh-sri-potti-sriramulu-nellore,3,F10,-0.4615,1993
46,22824,andhra-pradesh-prakasam,3,F10,-0.6000,1993
47,61141,andhra-pradesh-visakhapatnam,3,F10,-1.2632,1993
48,31875,andhra-pradesh-chittoor,3,F10,-0.1263,1993
49,15541,andhra-pradesh-guntur,3,F10,-0.1789,1993
50,24898,andhra-pradesh-east-godavari,3,F10,-0.9310,1993
51,20161,andhra-pradesh-anantapur,3,F10,-0.6000,1993
52,22656,andhra-pradesh-nalgonda,3,F10,-0.6176,1993
53,16835,andhra-pradesh-nizamabad,3,F10,-0.1563,1993
54,19395,andhra-pradesh-kurnool,3,F10,-0.9545,1993
55,22718,andhra-pradesh-karimnagar,3,F10,-0.2632,1993
56,24336,andhra-pradesh-khammam,3,F10,-0.6296,1993
57,28587,andhra-pradesh-vizianagaram,3,F10,-0.5811,1993
58,32293,andhra-pradesh-srikakulam,3,F10,-1.1789,1993
59,19097,andhra-pradesh-y.s.r,3,F10,-0.5455,1993
60,30958,andhra-pradesh-mahbubnagar,3,F10,-0.9545,1993
61,16495,andhra-pradesh-rangareddy,3,F10,-0.4615,1993
62,16531,andhra-pradesh-west-godavari,3,F10,-0.4615,1993
63,20220,andhra-pradesh-krishna,3,F10,0.4189,1993
64,22492,andhra-pradesh-warangal,3,F10,-0.6296,1993
65,23354,andhra-pradesh-medak,3,F10,-0.7027,1993
66,15967,andhra-pradesh-west-godavari,4,F10,-0.0175,1993
67,22713,andhra-pradesh-east-godavari,4,F10,-0.3509,1993
68,24216,andhra-pradesh-adilabad,4,F10,-0.7358,1993
69,12906,andhra-pradesh-guntur,4,F10,-0.0133,1993
70,17722,andhra-pradesh-krishna,4,F10,0.2400,1993
71,16355,andhra-pradesh-y.s.r,4,F10,-0.0909,1993
72,13238,andhra-pradesh-anantapur,4,F10,-0.2069,1993
