,count,key,month,satellite,vis_median,year
0,53037,orissa-kandhamal,1,F10,-1.5443,1993
1,54075,orissa-rayagada,1,F10,-1.5106,1993
2,21648,orissa-malkangiri,1,F10,-1.4713,1993
3,27759,orissa-bhadrak,1,F10,-0.7234,1993
4,36783,orissa-puri,1,F10,-0.8065,1993
5,27749,orissa-bargarh,1,F10,-1.2703,1993
6,36072,orissa-jajapur,1,F10,-0.6567,1993
7,13471,orissa-nuapada,1,F10,-1.3977,1993
8,23436,orissa-dhenkanal,1,F10,-0.6804,1993
9,29219,orissa-sambalpur,1,F10,-1.4713,1993
10,19078,orissa-nabarangapur,1,F10,-1.2703,1993
11,17672,orissa-subarnapur,1,F10,-1.2667,1993
12,45882,orissa-kalahandi,1,F10,-1.4713,1993
13,16706,orissa-debagarh,1,F10,-1.5106,1993
14,63165,orissa-ganjam,1,F10,-0.8065,1993
15,34070,orissa-gajapati,1,F10,-1.5579,1993
16,86527,orissa-mayurbhanj,1,F10,-0.7590,1993
17,32786,orissa-khordha,1,F10,-0.6567,1993
18,54967,orissa-baleshwar,1,F10,-0.6567,1993
19,35530,orissa-nayagarh,1,F10,-1.2703,1993
20,40257,orissa-sundargarh,1,F10,-1.2667,1993
21,37025,orissa-balangir,1,F10,-1.2667,1993
22,33502,orissa-anugul,1,F10,-0.7234,1993
23,8418,orissa-jharsuguda,1,F10,-0.7308,1993
24,46352,orissa-kendujhar,1,F10,-0.7590,1993
25,44342,orissa-cuttack,1,F10,-0.6567,1993
26,41494,orissa-koraput,1,F10,-1.5443,1993
27,29728,orissa-jagatsinghapur,1,F10,-0.8065,1993
28,22835,orissa-baudh,1,F10,-1.3373,1993
29,32831,orissa-kendrapara,1,F10,-0.7590,1993
30,41006,orissa-kendujhar,2,F10,-1.3750,1993
31,24215,orissa-bargarh,2,F10,-1.3750,1993
32,17216,orissa-subarnapur,2,F10,-1.7204,1993
33,30814,orissa-nayagarh,2,F10,-1.3973,1993
34,25069,orissa-sambalpur,2,F10,-1.7255,1993
35,33220,orissa-sundargarh,2,F10,-1.6667,1993
36,37461,orissa-balangir,2,F10,-1.4878,1993
37,48078,orissa-kandhamal,2,F10,-1.7204,1993
38,25429,orissa-bhadrak,2,F10,-1.7255,1993
39,31917,orissa-puri,2,F10,-1.8293,1993
40,27698,orissa-khordha,2,F10,-1.6667,1993
41,18131,orissa-nabarangapur,2,F10,-1.3299,1993
42,22304,orissa-dhenkanal,2,F10,-1.3973,1993
43,13846,orissa-nuapada,2,F10,-1.1964,1993
44,50167,orissa-rayagada,2,F10,-1.3750,1993
45,23316,orissa-baudh,2,F10,-1.6941,1993
46,32427,orissa-jajapur,2,F10,-1.4878,1993
47,24191,orissa-jagatsinghapur,2,F10,-1.7255,1993
48,39945,orissa-koraput,2,F10,-1.6667,1993
49,6801,orissa-jharsuguda,2,F10,-1.1964,1993
50,37616,orissa-cuttack,2,F10,-1.3750,1993
51,52195,orissa-baleshwar,2,F10,-1.4878,1993
52,14790,orissa-debagarh,2,F10,-1.6667,1993
53,74934,orissa-mayurbhanj,2,F10,-1.4878,1993
54,29971,orissa-gajapati,2,F10,-1.7204,1993
55,34527,orissa-anugul,2,F10,-1.2143,1993
56,56156,orissa-ganjam,2,F10,-1.3973,1993
57,43419,orissa-kalahandi,2,F10,-1.3299,1993
58,25891,orissa-kendrapara,2,F10,-1.6667,1993
59,21051,orissa-malkangiri,2,F10,-1.3750,1993
60,52083,orissa-ganjam,3,F10,-1.3519,1993
61,21651,orissa-baudh,3,F10,-1.0625,1993
62,37604,orissa-kalahandi,3,F10,-0.9545,1993
63,33395,orissa-jajapur,3,F10,-1.5789,1993
64,18076,orissa-malkangiri,3,F10,0.4189,1993
65,33234,orissa-koraput,3,F10,-1.1789,1993
66,42215,orissa-kendujhar,3,F10,-1.5811,1993
67,22110,orissa-bargarh,3,F10,-1.3333,1993
68,32811,orissa-balangir,3,F10,-1.4250,1993
69,24112,orissa-sambalpur,3,F10,-0.7027,1993
70,6493,orissa-jharsuguda,3,F10,-1.1563,1993
71,35075,orissa-cuttack,3,F10,-1.3519,1993
