,count,key,month,satellite,vis_median,year
0,24758,tamilnadu-tiruvannamalai,1,F10,-0.5106,1993
1,12308,tamilnadu-thiruvallur,1,F10,1.5287,1993
2,8340,tamilnadu-nagapattinam,1,F10,0.2088,1993
3,5485,tamilnadu-dindigul,1,F10,0.2088,1993
4,10773,tamilnadu-salem,1,F10,1.7297,1993
5,19741,tamilnadu-kancheepuram,1,F10,-0.1771,1993
6,3634,tamilnadu-coimbatore,1,F10,1.2410,1993
7,16377,tamilnadu-vellore,1,F10,0.6023,1993
8,11374,tamilnadu-krishnagiri,1,F10,-0.2703,1993
9,474,tamilnadu-the-nilgiris,1,F10,-0.6567,1993
10,2141,tamilnadu-perambalur,1,F10,-0.1771,1993
11,6564,tamilnadu-namakkal,1,F10,1.4894,1993
12,9044,tamilnadu-thiruvarur,1,F10,0.0517,1993
13,8211,tamilnadu-madurai,1,F10,0.7297,1993
14,13405,tamilnadu-cuddalore,1,F10,0.4894,1993
15,13834,tamilnadu-thanjavur,1,F10,0.0517,1993
16,12247,tamilnadu-dharmapuri,1,F10,-0.6567,1993
17,12719,tamilnadu-pudukkottai,1,F10,-0.5106,1993
18,2728,tamilnadu-ariyalur,1,F10,-0.5579,1993
19,7140,tamilnadu-erode,1,F10,1.5287,1993
20,995,tamilnadu-kanniyakumari,1,F10,0.3889,1993
21,2799,tamilnadu-karur,1,F10,-0.1771,1993
22,7008,tamilnadu-sivaganga,1,F10,-0.4713,1993
23,7928,tamilnadu-virudhunagar,1,F10,0.2410,1993
24,5342,tamilnadu-ramanathapuram,1,F10,-0.7325,1993
25,1168,tamilnadu-theni,1,F10,0.3196,1993
26,6824,tamilnadu-tiruchirappalli,1,F10,0.2658,1993
27,7250,tamilnadu-tirunelveli,1,F10,0.3433,1993
28,27247,tamilnadu-viluppuram,1,F10,0.0517,1993
29,6909,tamilnadu-thoothukkudi,1,F10,-0.2703,1993
30,4777,tamilnadu-tiruppur,1,F10,0.6023,1993
31,13699,tamilnadu-dharmapuri,2,F10,-0.8519,1993
32,27714,tamilnadu-tiruvannamalai,2,F10,-0.7255,1993
33,7626,tamilnadu-erode,2,F10,0.5122,1993
34,10581,tamilnadu-sivaganga,2,F10,-0.8462,1993
35,6995,tamilnadu-dindigul,2,F10,-0.2143,1993
36,12555,tamilnadu-krishnagiri,2,F10,-0.6941,1993
37,4421,tamilnadu-coimbatore,2,F10,0.7857,1993
38,1451,tamilnadu-kanniyakumari,2,F10,0.8036,1993
39,9612,tamilnadu-virudhunagar,2,F10,-0.5679,1993
40,9774,tamilnadu-tiruchirappalli,2,F10,0.1481,1993
41,8222,tamilnadu-tirunelveli,2,F10,0.1034,1993
42,12672,tamilnadu-thiruvallur,2,F10,1.1538,1993
43,11011,tamilnadu-nagapattinam,2,F10,0.2796,1993
44,569,tamilnadu-the-nilgiris,2,F10,-0.6941,1993
45,2879,tamilnadu-perambalur,2,F10,-0.8966,1993
46,16434,tamilnadu-cuddalore,2,F10,0.3333,1993
47,11159,tamilnadu-madurai,2,F10,0.3333,1993
48,12138,tamilnadu-thiruvarur,2,F10,0.3333,1993
49,18659,tamilnadu-vellore,2,F10,0.1034,1993
50,7610,tamilnadu-ramanathapuram,2,F10,-1.4878,1993
51,21348,tamilnadu-kancheepuram,2,F10,-0.2626,1993
52,12111,tamilnadu-salem,2,F10,1.1481,1993
53,5822,tamilnadu-tiruppur,2,F10,0.1538,1993
54,7892,tamilnadu-thoothukkudi,2,F10,-0.6667,1993
55,3972,tamilnadu-ariyalur,2,F10,-0.7826,1993
