,count,key,month,satellite,vis_median,year
0,174833,west-bengal-paschim-medinipur,1,F10,-0.6804,1993
1,36777,west-bengal-maldah,1,F10,-0.6567,1993
2,34915,west-bengal-dakshin-dinajpur,1,F10,-0.6804,1993
3,24489,west-bengal-koch-bihar,1,F10,-0.5106,1993
4,16637,west-bengal-jalpaiguri,1,F10,0.1935,1993
5,42979,west-bengal-murshidabad,1,F10,-0.3977,1993
6,43343,west-bengal-hugli,1,F10,0.4557,1993
7,15020,west-bengal-darjiling,1,F10,0.4421,1993
8,32612,west-bengal-uttar-dinajpur,1,F10,-0.4713,1993
9,80159,west-bengal-bankura,1,F10,-0.3977,1993
10,54315,west-bengal-puruliya,1,F10,-0.6567,1993
11,48579,west-bengal-birbhum,1,F10,-0.2667,1993
12,55271,west-bengal-barddhaman,1,F10,0.3433,1993
13,67412,west-bengal-purba-medinipur,1,F10,-0.6567,1993
14,35109,west-bengal-north-twenty-four-parganas,1,F10,0.2088,1993
15,28730,west-bengal-nadia,1,F10,0.2410,1993
16,17418,west-bengal-haora,1,F10,0.3913,1993
17,43179,west-bengal-south-twenty-four-parganas,1,F10,0.1935,1993
18,59953,west-bengal-purba-medinipur,2,F10,-1.7204,1993
19,12268,west-bengal-darjiling,2,F10,-1.6667,1993
20,37024,west-bengal-south-twenty-four-parganas,2,F10,-1.3299,1993
21,45333,west-bengal-barddhaman,2,F10,-1.3973,1993
22,21721,west-bengal-nadia,2,F10,-1.5679,1993
23,14710,west-bengal-haora,2,F10,-0.7204,1993
24,20601,west-bengal-koch-bihar,2,F10,-1.7255,1993
25,13386,west-bengal-jalpaiguri,2,F10,-1.8462,1993
26,28231,west-bengal-dakshin-dinajpur,2,F10,-1.8519,1993
27,152681,west-bengal-paschim-medinipur,2,F10,-1.7204,1993
28,25849,west-bengal-uttar-dinajpur,2,F10,-1.7826,1993
29,37135,west-bengal-hugli,2,F10,-0.6667,1993
30,68380,west-bengal-bankura,2,F10,-1.8293,1993
31,29218,west-bengal-maldah,2,F10,-1.7204,1993
32,38069,west-bengal-birbhum,2,F10,-1.7255,1993
33,46124,west-bengal-puruliya,2,F10,-1.8293,1993
34,31633,west-bengal-murshidabad,2,F10,-1.8293,1993
35,27571,west-bengal-north-twenty-four-parganas,2,F10,-0.8519,1993
36,22313,west-bengal-nadia,3,F10,-0.7027,1993
37,53500,west-bengal-purba-medinipur,3,F10,-1.7027,1993
38,25153,west-bengal-north-twenty-four-parganas,3,F10,-0.9545,1993
39,45671,west-bengal-birbhum,3,F10,-1.3519,1993
40,70196,west-bengal-bankura,3,F10,-1.5789,1993
41,25300,west-bengal-koch-bihar,3,F10,-1.6176,1993
42,45506,west-bengal-barddhaman,3,F10,-0.8734,1993
43,34040,west-bengal-maldah,3,F10,-1.5789,1993
44,48789,west-bengal-puruliya,3,F10,-1.5811,1993
45,31671,west-bengal-uttar-dinajpur,3,F10,-1.8734,1993
46,148827,west-bengal-paschim-medinipur,3,F10,-1.8734,1993
47,33314,west-bengal-south-twenty-four-parganas,3,F10,-1.0625,1993
48,39064,west-bengal-murshidabad,3,F10,-1.4615,1993
49,35909,west-bengal-hugli,3,F10,-0.4615,1993
50,14903,west-bengal-darjiling,3,F10,-0.6296,1993
51,16161,west-bengal-jalpaiguri,3,F10,-1.5455,1993
52,34166,west-bengal-dakshin-dinajpur,3,F10,-1.6176,1993
53,14314,west-bengal-haora,3,F10,-0.1789,1993
54,11560,west-bengal-north-twenty-four-parganas,4,F10,0.7167,1993
55,28479,west-bengal-barddhaman,4,F10,-0.2833,1993
56,13969,west-bengal-nadia,4,F10,-0.2833,1993
57,5709,west-bengal-haora,4,F10,0.7778,1993
58,17283,west-bengal-hugli,4,F10,0.6491,1993
59,16425,west-bengal-purba-medinipur,4,F10,-1.7600,1993
60,31718,west-bengal-birbhum,4,F10,-0.6923,1993
61,9866,west-bengal-darjiling,4,F10,-0.6923,1993
